"SAMPID,C,20","SEX,C,10","UTM_X,N,19,11","UTM_Y,N,19,11"
PA087,F,115556.044021,3486272.88304
PA097,F,116870.543644,3489102.55056
PA098,M,116148.894117,3483420.50411
PN001,M,482000.018751,3700998.34463
PN002,M,296192.720405,4053069.38808
PN003,M,347990.948523,3990302.26593
PN004,F,431049.74714,3998099.74491
PN005,F,498461.953615,4013066.46126
PN006,F,319083.556347,3988585.77826
PN007,M,362239.882957,3955204.72246
PN008,M,266226.655138,3683064.68196
PN009,M,424069.50391,3959228.82812
PN010,F,335084.820429,3985030.07668
PN011,M,353068.379852,3994036.4576
PN012,M,336253.921015,4020947.27012
PN013,F,176298.419627,3898814.16817
PN014,M,442182.380054,4049792.71872
PN015,M,495432.203198,4016619.85888
PN016,M,161438.249036,3778680.71729
PN017,F,555140.22335,3947166.40683
PN018,M,540089.228225,4090021.12511
PN019,M,539034.100495,4084003.32132
PN020,F,576139.093691,4073767.81746
PN021,F,478557.47634,3999074.83866
PN022,M,490244.865261,4040789.9535
PN023,F,531921.098927,4063038.94104
PN024,F,542013.806425,4082262.24815
PN025,M,473111.72828,3977096.50938
PN026,F,506939.389546,3981405.44542
PN027,F,517990.918108,4059050.44983
PN028,M,489101.907866,4040959.26025
PN029,M,502055.886391,4051076.97968
PN030,M,546776.716294,4090201.58876
PN031,M,540045.736704,4075012.37593
PN032,F,538081.507753,4069026.35473
PN033,F,157213.825681,3859121.42442
PN034,F,258007.773568,3798068.82387
PN035,M,250159.179985,3800075.37182
PN036,M,268955.240483,3785064.02085
PN037,M,255061.439467,3784987.80146
PN038,F,245079.132673,3800049.91257
PN039,M,266081.97887,3800056.45504
PN040,M,268062.327494,3790197.81769
PN041,F,265119.767628,3795096.99669
PN042,M,256229.741915,3805066.48051
PN043,M,369813.041481,3835027.97378
PN044,M,367988.831029,3841590.7534
PN045,F,169294.54556,3775174.53035
PN046,M,137258.011821,3760024.32149
PN047,M,157372.990755,3775762.31485
PN048,F,227583.795227,3658520.6285
PN049,F,208834.862439,3733856.46664
PN050,M,303093.507027,3771021.08993
PN051,F,262007.838845,3730036.24504
PN052,F,304037.593942,3761043.53603
PN053,M,275441.171191,3736435.15462
PN054,F,279147.998358,3718497.89734
PN055,F,274971.378994,3733969.03812
PN056,M,359178.334358,3811220.1941
PN057,M,358321.460323,3589703.30739
PN058,M,265065.164551,3645197.31046
PN059,M,172258.367514,3616647.64608
PN060,F,239087.640747,3535059.65502
PN061,F,533037.392652,3560000.54437
PN062,F,438140.281153,3748089.23615
PN063,M,465016.371461,3696156.65369
PN064,M,482911.632235,3715450.70406
PN065,M,442149.174165,3753887.19056
PN066,F,632998.99166,3867297.50752
PN067,M,599184.838854,3998073.92573
PN068,M,579224.570231,3890774.97008
PN069,F,513254.054533,3913217.25115
PN070,M,536148.80713,3948046.65191
PN071,M,440230.875778,3920011.69195
PN072,M,435038.911766,3995015.61272
PN073,F,441189.134488,3986010.47227
PN074,M,451872.262133,3956437.07857
PN075,M,457333.267678,3935837.68829
PN076,F,465623.984862,3992360.52119
PN077,F,570007.6003,3968070.64255
PN078,M,459096.076741,4020732.28102
PN079,F,386114.478984,4031158.0513
PN080,F,395148.78038,4051775.4247
PN081,M,376181.263119,4042166.23446
PN082,F,464132.570432,4060549.75589
PN083,F,521376.742019,4083670.6446
PN084,M,549979.346065,4085056.40062
PN085,M,524079.530552,4082065.72693
PN086,M,531044.256547,4083022.01979
PN087,M,527401.929015,4086473.85442
PN088,F,502053.362264,4049286.56486
PN089,F,549045.763654,4093198.78491
PN090,F,603993.188454,4088270.10683
PN091,M,296896.899801,4051001.57908
PN092,M,302611.799281,4089390.23768
PN093,M,299840.883165,4092680.6639
PN094,F,301746.008674,4051001.60598
PN095,M,267032.638936,4085056.80531
PN096,M,261059.749046,4078052.53346
PN097,F,365064.187764,4055002.29107
PN098,M,332101.238624,4093165.69447
PN099,M,332266.380688,4092721.24656
PN100,M,340997.755703,4032142.28192
PN101,F,352908.9773,4027556.28911
PN102,M,361083.452093,4031042.19085
PN103,M,330090.223252,4029873.48456
PN104,F,342963.386468,4037955.39075
PN105,F,333819.527352,3983661.92419
PN106,M,334535.262777,3987790.33962
PN107,F,354626.231739,4000714.88188
PN108,F,379030.505232,4007644.03425
PN109,M,360518.99373,3998987.69473
PN110,F,345847.956597,4002076.27059
PN111,F,335159.62824,4010062.00472
PN112,M,332213.262075,4008050.3422
PN113,M,384642.468624,3855787.40464
PN114,M,280640.07687,3722003.08986
PN115,M,369479.23383,3842748.96681
PN116,F,384515.54445,3854022.76499
PN117,F,427239.271212,3983048.94032
PN119,F,331641.64431,4035162.08317
PN120,M,249077.19547,4092410.51465
PN121,M,177317.47513,3610030.4639
PN122,M,464785.05986,4085646.42279
PN123,F,431774.637711,3734703.58372
PN124,M,195992.869206,3882870.12111
PN125,M,371291.049623,4031796.60567
PN126,F,343100.312337,3959073.90159
PN127,M,304533.503405,4051764.09421
PN128,M,548062.934819,4087513.84846
PN129,M,462547.083059,3981817.76047
PN130,F,363887.597837,3831137.45702
PN131,M,250926.82591,3804494.75641
PN132,M,276157.593728,3782091.99323
PN134,F,182249.238713,3773739.94743
PN135,F,147240.551692,3771212.46305
PN136,M,152559.674976,3754934.54396
PN137,F,163364.493971,3760426.85462
PN138,F,137883.922985,3757030.1244
PN139,M,276880.878993,3719223.17254
PN140,F,278811.22793,3722271.0986
PN141,M,275077.348154,3755037.16505
PN142,M,264110.289764,3662632.71424
PN143,M,245594.576868,3661635.63521
PN145,F,250014.1123,3644083.93616
PN146,M,246201.374162,3667029.68501
PN147,M,255943.482548,3637134.56643
PN148,F,267361.329991,3658312.0544
PN149,M,235058.669323,3669628.03411
PN150,M,264421.028328,3678721.4096
PN151,M,255498.109579,3685073.62046
PN153,F,446877.524571,3633926.72016
PN155,M,447714.533999,3648444.63519
PN156,M,447343.942326,3646387.02226
PN157,F,443811.599885,3690082.15266
PN158,F,435091.59542,3715050.91846
PN160,M,481923.429433,3715328.44813
PN161,F,488964.069661,3710823.69447
PN162,F,430823.451236,3725047.54643
PN164,M,440170.537804,3744681.78829
